Player,Matches Played,Innings Bowled,Balls,Overs,Maidens Earned,Runs Conceded,Wickets,Bowling Average,Economy Rate,Bowling Strike Rate,Four Wickets in an Innings,Five Wickets in an Innings
Fazalhaq Farooqi (AFG),8,8,152,25.2,0,160,17,9.41,6.31,8.94,1,1
Arshdeep Singh (IND),8,8,180,30,0,215,17,12.64,7.16,10.58,1,0
JJ Bumrah (IND),8,8,178,29.4,2,124,15,8.26,4.17,11.86,0,0
A Nortje (SA),9,9,210,35,0,201,15,13.4,5.74,14,1,0
Rashid Khan (AFG),8,8,174,29,0,179,14,12.78,6.17,12.42,2,0
Rishad Hossain (BAN),7,7,150,25,0,194,14,13.85,7.76,10.71,0,0
Naveen-ul-Haq (AFG),8,8,160,26.4,0,160,13,12.3,6,12.3,1,0
AS Joseph (WI),7,7,147,24.3,0,177,13,13.61,7.22,11.3,1,0
A Zampa (AUS),7,7,168,28,0,187,13,14.38,6.67,12.92,1,0
K Rabada (SA),9,9,186,31,2,195,13,15,6.29,14.3,0,0
T Shamsi (SA),5,5,101,16.5,0,128,11,11.63,7.6,9.18,1,0
AD Russell (WI),7,7,121,20.1,0,141,11,12.81,6.99,11,0,0
Tanzim Hasan Sakib (BAN),7,7,144,24,2,149,11,13.54,6.2,13.09,1,0
KA Maharaj (SA),8,8,168,28,0,175,11,15.9,6.25,15.27,0,0
HH Pandya (IND),8,8,150,25,2,191,11,17.36,7.64,13.63,0,0
CJ Jordan (ENG),5,5,83,13.5,0,134,10,13.4,9.68,8.3,1,0
Kuldeep Yadav (IND),5,5,120,20,0,139,10,13.9,6.95,12,0,0
MP Stoinis (AUS),7,6,102,17,0,151,10,15.1,8.88,10.2,0,0
AU Rashid (ENG),8,8,168,28,0,186,10,18.6,6.64,16.8,1,0
JC Archer (ENG),8,8,158,26.2,1,190,10,19,7.21,15.8,0,0
TA Boult (NZ),4,4,96,16,2,59,9,6.55,3.68,10.66,0,0
AJ Hosein (WI),7,7,150,25,1,141,9,15.66,5.64,16.66,0,1
PJ Cummins (AUS),5,5,114,19,1,144,9,16,7.57,12.66,0,0
AR Patel (IND),8,8,132,22,1,173,9,19.22,7.86,14.66,0,0
N Thushara (SL),3,3,64,10.4,0,60,8,7.5,5.62,8,1,0
Taskin Ahmed (BAN),6,6,128,21.2,1,137,8,17.12,6.42,16,0,0
Mustafizur Rahman (BAN),7,7,156,26,1,142,8,17.75,5.46,19.5,0,0
G Motie (WI),7,7,126,21,0,149,8,18.62,7.09,15.75,0,0
TG Southee (NZ),3,3,72,12,1,36,7,5.14,3,10.28,0,0
Gulbadin Naib (AFG),8,4,54,9,0,47,7,6.71,5.22,7.71,1,0
LH Ferguson (NZ),4,4,96,16,4,64,7,9.14,4,13.71,0,0
Mohammad Amir (PAK),4,4,96,16,1,72,7,10.28,4.5,13.71,0,0
RL Chase (WI),6,5,90,15,0,80,7,11.42,5.33,12.85,0,0
Haris Rauf (PAK),4,4,90,15,0,101,7,14.42,6.73,12.85,0,0
R Trumpelmann (NAM),4,4,72,12,0,107,7,15.28,8.91,10.28,1,0
LV van Beek (NED),4,4,92,15.2,1,127,7,18.14,8.28,13.14,0,0
M Jansen (SA),9,9,187,31.1,0,213,7,30.42,6.83,26.71,0,0
DS Airee (NEP),3,3,57,9.3,0,49,6,8.16,5.15,9.5,0,0
Mehran Khan (OMA),4,3,48,8,1,61,6,10.16,7.62,8,0,0
PW Hasaranga (SL),3,3,68,11.2,0,79,6,13.16,6.97,11.33,0,0
OEG Baartman (SA),5,5,114,19,1,94,6,15.66,4.94,19,1,0
SN Netravalkar (USA),6,6,113,18.5,0,125,6,20.83,6.63,18.83,0,0
D Heyliger (CAN),3,3,66,11,0,55,5,11,5,13.2,0,0
BJ McCarthy (IRE),3,3,62,10.2,1,57,5,11.4,5.51,12.4,0,0
B Masaba (UGA),4,3,72,12,0,69,5,13.8,5.75,14.4,0,0
Naseem Shah (PAK),3,3,72,12,0,71,5,14.2,5.91,14.4,0,0
D Wiese (NAM),4,4,61,10.1,0,79,5,15.8,7.77,12.2,0,0
BTJ Wheal (SCOT),4,3,70,11.4,1,80,5,16,6.85,14,0,0
PA van Meekeren (NED),4,4,90,15,1,84,5,16.8,5.6,18,0,0
C Kyewuta (UGA),4,4,79,13.1,0,97,5,19.4,7.36,15.8,0,0
TJG Pringle (NED),4,4,78,13,0,101,5,20.2,7.76,15.6,0,0
Shaheen Shah Afridi (PAK),4,4,96,16,0,105,5,21,6.56,19.2,0,0
MA Starc (AUS),5,5,108,18,0,154,5,30.8,8.55,21.6,0,0
K Bhurtel (NEP),3,2,48,8,0,41,4,10.25,5.12,12,1,0
AR Ramjani (UGA),4,3,66,11,1,66,4,16.5,6,16.5,0,0
A Nao (PNG),4,4,78,13,1,73,4,18.25,5.61,19.5,0,0
NT Ellis (AUS),3,3,66,11,1,74,4,18.5,6.72,16.5,0,0
MJ Santner (NZ),4,4,82,13.4,0,76,4,19,5.56,20.5,0,0
MG Erasmus (NAM),4,4,66,11,0,81,4,20.25,7.36,16.5,0,0
SM Sharif (SCOT),2,2,48,8,0,82,4,20.5,10.25,12,0,0
Bilal Khan (OMA),4,4,73,12.1,0,109,4,27.25,8.95,18.25,0,0
Harmeet Singh (USA),6,5,96,16,0,139,4,34.75,8.68,24,0,0
JR Hazlewood (AUS),6,6,144,24,1,145,4,36.25,6.04,36,0,0
Sompal Kami (NEP),3,3,54,9,1,34,3,11.33,3.77,18,0,0
A Dutt (NED),2,2,42,7,0,40,3,13.33,5.71,14,0,0
A Vala (PNG),4,3,42,7,1,42,3,14,6,14,0,0
N Vanua (PNG),3,3,48,8,0,43,3,14.33,5.37,16,0,0
Imad Wasim (PAK),3,3,66,11,0,44,3,14.66,4,22,0,0
OC McCoy (WI),3,3,37,6.1,0,49,3,16.33,7.94,12.33,0,0
M Pathirana (SL),3,3,60,10,0,51,3,17,5.1,20,0,0
BM Scholtz (NAM),4,3,60,10,0,64,3,21.33,6.4,20,0,0
MM Ali (ENG),8,4,54,9,0,73,3,24.33,8.11,18,0,0
MR Adair (IRE),3,3,72,12,0,74,3,24.66,6.16,24,0,0
JOA Gordon (CAN),3,3,63,10.3,0,77,3,25.66,7.33,21,0,0
VJ Kingma (NED),4,4,78,13,1,78,3,26,6,26,0,0
LS Livingstone (ENG),8,4,66,11,0,83,3,27.66,7.54,22,0,0
Mohammad Nabi (AFG),8,7,78,13,0,88,3,29.33,6.76,26,0,0
NP Kenjige (USA),4,4,60,10,0,89,3,29.66,8.9,20,0,0
MRJ Watt (SCOT),4,3,72,12,0,98,3,32.66,8.16,24,0,0
GJ Maxwell (AUS),7,5,72,12,0,103,3,34.33,8.58,24,0,0
MA Wood (ENG),5,5,78,13,0,113,3,37.66,8.69,26,0,0
SM Curran (ENG),5,5,72,12,0,115,3,38.33,9.58,24,0,0
BFW de Leede (NED),4,4,83,13.5,1,119,3,39.66,8.6,27.66,0,0
Shakib Al Hasan (BAN),7,6,104,17.2,0,130,3,43.33,7.5,34.66,0,0
Ali Khan (USA),6,6,116,19.2,0,181,3,60.33,9.36,38.66,0,0
R Ravindra (NZ),3,1,18,3,1,9,2,4.5,3,9,0,0
BJ Currie (SCOT),2,1,24,4,0,16,2,8,4,12,0,0
B White (IRE),2,2,18,3,0,17,2,8.5,5.66,9,0,0
RK Paudel (NEP),3,1,24,4,0,20,2,10,5,12,0,0
MD Shanaka (SL),3,3,30,5,1,27,2,13.5,5.4,15,0,0
IS Sodhi (NZ),1,1,22,3.4,0,29,2,14.5,7.9,11,0,0
CN Greaves (SCOT),4,3,30,5,0,30,2,15,6,15,0,0
CA Young (IRE),1,1,24,4,0,32,2,16,8,12,0,0
F Nsubuga (UGA),2,2,42,7,2,33,2,16.5,4.71,21,0,0
KV Morea (PNG),2,2,32,5.2,0,34,2,17,6.37,16,0,0
S Lamichhane (NEP),2,2,48,8,1,35,2,17.5,4.37,24,0,0
MJ Henry (NZ),1,1,24,4,0,37,2,18.5,9.25,12,0,0
C Campher (IRE),3,3,42,7,0,39,2,19.5,5.57,21,0,0
SI Kamea (PNG),2,2,36,6,0,39,2,19.5,6.5,18,0,0
J Miyagi (UGA),3,3,56,9.2,0,56,2,28,6,28,0,0
