Match No.,Date of Match,Venue Stadium,Venue City,1st Team,2nd Team,Stage,Umpire 1,Umpire 2,Reserve Umpire,Match Referee,TV Umpire,Toss Winning,Toss Loser,Toss Decision,Match Result,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings,Winners,Losers,Method,Won by,Winning Margin,Top Run Scorer,Highest Score,Best Bowler,Best Bowler Figure(Wickets Taken),Best Bowler Figure(Runs Recieved),Player Of The Match,Super Over Match
1st,02-06-2024,Grand Prairie Stadium,Dallas,Canada,United State Of America,Group A,Richard Illingworth,Sharfuddoula,Langton Rusere,Richie Richardson,Sam Nogajski,United State Of America,Canada,Fielding,Played,194,5,197,3,United State Of America,Canada,Normal Match,Wickets,7,Aaron Jones,94,Dilon Heyliger,1,19,Aaron Jones,No
2nd,02-06-2024,Providence Stadium,Providence,Papua New Guinea,West Indies,Group C,Adrian Holdstock,Rashid Riaz,Kumar Dharmasena,Andy Pycroft,Ahsan Raza,West Indies,Papua New Guinea,Fielding,Played,136,8,137,5,West Indies,Papua New Guinea,Normal Match,Wickets,5,Sese Bau,50,Andre Russell,2,19,Roston Chase,No
3rd,03-06-2024,Kensington Oval,Bridgetown,Oman,Namibia,Group B,Jayaraman Madanagopal,Joel Wilson,Asif Yaqoob,Ranjan Madugalle,Nitin Menon,Namibia,Oman,Fielding,Played,109,10,109,6,Namibia,Oman,Normal Match,Wickets,4,Jan Frylinck,45,Mehran Khan,3,7,David Wiese,Yes
4th,03-06-2024,Nassau County International Cricket Stadium,New York,Sri Lanka,South Africa,Group D,Chris Brown,Richard Kettleborough,Alex Wharf,Jeff Crowe,Paul Reiffel,Sri Lanka,South Africa,Batting,Played,77,10,80,4,South Africa,Sri Lanka,Normal Match,Wickets,6,Quinton de Kock,20,Anrich Nortje,4,7,Anrich Nortje,No
5th,04-06-2024,Providence Stadium,Providence,Afghanistan,Uganda,Group C,Ahsan Raza,Kumar Dharmasena,Rashid Riaz,Andy Pycroft,Adrian Holdstock,Uganda,Afghanistan,Fielding,Played,183,5,58,10,Afghanistan,Uganda,Normal Match,Runs,125,Rahmanullah Gurbaz,76,Fazalhaq Farooqi,5,9,Fazalhaq Farooqi,No
6th,05-06-2024,Kensington Oval,Bridgetown,Scotland,England,Group B,Asif Yaqoob,Nitin Menon,Jayaraman Madanagopal,Ranjan Madugalle,Joel Wilson,Scotland,England,Batting,Abandoned,90,0,0,0,No Result (Rain),No Result (Rain),No Result (Rain),No Result (Rain),0,No Result (Rain),0,No Result (Rain),0,0,No Result (Rain),No Result (Rain)
7th,05-06-2024,Grand Prairie Stadium,Dallas,Nepal,Netherlands,Group D,Langton Rusere,Rod Tucker,Richard Illingworth,Richie Richardson,Sharfuddoula,Netherlands,Nepal,Fielding,Played,106,10,109,4,Netherlands,Nepal,Normal Match,Wickets,6,Max O'Dowd,54,Tim Pringle,3,20,Tim Pringle,No
8th,05-06-2024,Nassau County International Cricket Stadium,New York,Ireland,India,Group A,Alex Wharf,Chris Gaffaney,Chris Brown,David Boon,Richard Kettleborough,India,Ireland,Fielding,Played,96,10,97,2,India,Ireland,Normal Match,Wickets,8,Rohit Sharma,52,Jasprit Bumrah,2,6,Jasprit Bumrah,No
9th,06-06-2024,Providence Stadium,Providence,Papua New Guinea,Uganda,Group C,Adrian Holdstock,Rashid Riaz,Kumar Dharmasena,Javagal Srinath,Ahsan Raza,Uganda,Papua New Guinea,Fielding,Played,77,10,78,8,Uganda,Papua New Guinea,Normal Match,Wickets,3,Riazat Ali Shah,33,Frank Nsubuga,2,4,Riazat Ali Shah,No
10th,06-06-2024,Kensington Oval,Bridgetown,Australia,Oman,Group B,Asif Yaqoob,Joel Wilson,Nitin Menon,Ranjan Madugalle,Jayaraman Madanagopal,Oman,Australia,Fielding,Played,164,5,125,9,Australia,Oman,Normal Match,Runs,39,Marcus Stoinis,67,Marcus Stoinis,3,19,Marcus Stoinis,No
11th,07-06-2024,Grand Prairie Stadium,Dallas,Pakistan,United State Of America,Group A,Allahuddien Paleker,Michael Gough,Rod Tucker,Jeff Crowe,Paul Reiffel,United State Of America,Pakistan,Fielding,Played,159,7,160,3,United State Of America,Pakistan,Normal Match,Runs,1,Monank Patel,50,Nosthush Kenjige,3,30,Monank Patel,Yes
12th,07-06-2024,Kensington Oval,Bridgetown,Namibia,Scotland,Group B,Jayaraman Madanagopal,Nitin Menon,Joel Wilson,Andy Pycroft,Asif Yaqoob,Namibia,Scotland,Batting,Played,155,9,157,5,Scotland,Namibia,Normal Match,Wickets,5,Michael Leask,35,Brad Currie,2,16,Michael Leask,No
13th,07-06-2024,Nassau County International Cricket Stadium,New York,Canada,Ireland,Group A,Richard Kettleborough,Sam Nogajski,Chris Gaffaney,Richie Richardson,Chris Brown,Ireland,Canada,Fielding,Played,137,7,125,7,Canada,Ireland,Normal Match,Runs,12,Nicholas Kirton,49,Jeremy Gordon,2,16,Nicholas Kirton,No
14th,08-06-2024,Providence Stadium,Providence,Afghanistan,New Zealand,Group C,Ahsan Raza,Kumar Dharmasena,Adrian Holdstock,Javagal Srinath,Rashid Riaz,New Zealand,Afghanistan,Fielding,Played,159,6,75,10,Afghanistan,New Zealand,Normal Match,Runs,84,Rahmanullah Gurbaz,80,Rashid Khan,4,17,Rahmanullah Gurbaz,No
15th,08-06-2024,Grand Prairie Stadium,Dallas,Sri Lanka,Bangladesh,Group D,Michael Gough,Paul Reiffel,Rod Tucker,Jeff Crowe,Allahuddien Paleker,Bangladesh,Sri Lanka,Fielding,Played,124,9,125,8,Bangladesh,Sri Lanka,Normal Match,Wickets,2,Pathum Nissanka,47,Rishad Hossain,3,22,Rishad Hossain,No
16th,08-06-2024,Nassau County International Cricket Stadium,New York,Netherlands,South Africa,Group D,Chris Gaffaney,Sharfuddoula,Sam Nogajski,David Boon,Richard Kettleborough,South Africa,Netherlands,Fielding,Played,103,9,106,6,South Africa,Netherlands,Normal Match,Wickets,4,David Miller,59,Ottneil Baartman,4,11,David Miller,No
17th,09-06-2024,Kensington Oval,Bridgetown,Australia,England,Group B,Joel Wilson,Nitin Menon,Jayaraman Madanagopal,Andy Pycroft,Asif Yaqoob,England,Australia,Fielding,Played,201,7,165,6,Australia,England,Normal Match,Runs,36,Jos Buttler,42,Adam Zampa,2,28,Adam Zampa,No
18th,09-06-2024,Providence Stadium,Providence,West Indies,Uganda,Group C,Kumar Dharmasena,Rashid Riaz,Ahsan Raza,Javagal Srinath,Adrian Holdstock,West Indies,Uganda,Batting,Played,173,5,39,10,West Indies,Uganda,Normal Match,Runs,134,Johnson Charles,44,Akeal Hosein,5,11,Akeal Hosein,No
19th,10-06-2024,Nassau County International Cricket Stadium,New York,India,Pakistan,Group A,Richard Illingworth,Rod Tucker,Sharfuddoula,David Boon,Chris Gaffaney,Pakistan,India,Fielding,Played,119,10,113,7,India,Pakistan,Normal Match,Runs,6,Rishabh Pant,42,Jasprit Bumrah,3,14,Jasprit Bumrah,No
20th,10-06-2024,Sir Vivian Richards Stadium,North Sound,Oman,Scotland,Group B,Allahuddien Paleker,Chris Brown,Alex Wharf,Richie Richardson,Langton Rusere,Oman,Scotland,Batting,Played,150,7,153,3,Scotland,Oman,Normal Match,Wickets,7,Brandon McMullen,31,Chris Greaves,1,2,Brandon McMullen,No
21th,10-06-2024,Nassau County International Cricket Stadium,New York,South Africa,Bangladesh,Group D,Richard Illingworth,Sam Nogajski,Paul Reiffel,Ranjan Madugalle,Michael Gough,South Africa,Bangladesh,Batting,Played,113,6,109,7,South Africa,Bangladesh,Normal Match,Runs,4,Heinrich Klaasen,46,Tanzim Hasan Sakib,3,18,Heinrich Klaasen,No
22th,11-06-2024,Nassau County International Cricket Stadium,New York,Canada,Pakistan,Group A,Adrian Holdstock,Kumar Dharmasena,Paul Reiffel,Ranjan Madugalle,Sam Nogajski,Pakistan,Canada,Fielding,Played,106,7,107,3,Pakistan,Canada,Normal Match,Wickets,7,Aaron Johnson,52,Mohammad Amir,2,13,Mohammad Amir,No
23th,12-06-2024,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Nepal,Sri Lanka,Group D,Chris Gaffaney,Richard Kettleborough,Sharfuddoula,Jeff Crowe,Rod Tucker,No Result (Rain),No Result (Rain),No Result (Rain),Abandoned,0,0,0,0,No Result (Rain),No Result (Rain),No Result (Rain),No Result (Rain),0,No Result (Rain),0,No Result (Rain),0,0,No Result (Rain),No Result (Rain)
24th,12-06-2024,Sir Vivian Richards Stadium,North Sound,Namibia,Australia,Group B,Nitin Menon,Rashid Riaz,Allahuddien Paleker,Javagal Srinath,Langton Rusere,Australia,Namibia,Fielding,Played,72,10,74,1,Australia,Namibia,Normal Match,Wickets,9,Gerhard Erasmus,36,Adam Zampa,4,12,Adam Zampa,No
25th,12-06-2024,Nassau County International Cricket Stadium,New York,United State Of America,India,Group A,Paul Reiffel,Sam Nogajski,Adrian Holdstock,Ranjan Madugalle,Kumar Dharmasena,India,United State Of America,Fielding,Played,110,8,111,3,India,United State Of America,Normal Match,Wickets,7,Suryakumar Yadav,50,Arshdeep Singh,4,9,Arshdeep Singh,No
26th,13-06-2024,Brian Lara Stadium,Tarouba,West Indies,New Zealand,Group C,Ahsan Raza,Alex Wharf,Michael Gough,David Boon,Richard Illingworth,New Zealand,West Indies,Fielding,Played,149,9,136,9,West Indies,New Zealand,Normal Match,Runs,13,Sherfane Rutherford,68,Trent Boult,3,16,Sherfane Rutherford,No
27th,13-06-2024,Arnos Vale Ground,Kingstown,Bangladesh,Netherlands,Group D,Chris Brown,Jayaraman Madanagopal,Joel Wilson,Richie Richardson,Allahuddien Paleker,Netherlands,Bangladesh,Fielding,Played,159,5,134,8,Bangladesh,Netherlands,Normal Match,Runs,25,Shakib Al Hasan,64,Paul van Meekeren,2,15,Shakib Al Hasan,No
28th,14-06-2024,Sir Vivian Richards Stadium,North Sound,Oman,England,Group B,Asif Yaqoob,Langton Rusere,Rashid Riaz,Andy Pycroft,Nitin Menon,England,Oman,Fielding,Played,47,10,50,2,England,Oman,Normal Match,Wickets,8,Jos Buttler,24,Adil Rashid,4,11,Adil Rashid,No
29th,14-06-2024,Brian Lara Stadium,Tarouba,Papua New Guinea,Afghanistan,Group C,Alex Wharf,Michael Gough,Ahsan Raza,David Boon,Richard Illingworth,Afghanistan,Papua New Guinea,Fielding,Played,95,10,101,3,Afghanistan,Papua New Guinea,Normal Match,Wickets,7,Gulbadin Naib,49,Fazalhaq Farooqi,3,16,Fazalhaq Farooqi,No
30th,15-06-2024,Central Broward Regional Park Stadium Turf Ground,Lauderhill,United State Of America,Ireland,Group A,Rod Tucker,Sharfuddoula,Richard Kettleborough,Javagal Srinath,Chris Gaffaney,No Result (Rain),No Result (Rain),No Result (Rain),Abandoned,0,0,0,0,No Result (Rain),No Result (Rain),No Result (Rain),No Result (Rain),0,No Result (Rain),0,No Result (Rain),0,0,No Result (Rain),No Result (Rain)
31th,15-06-2024,Arnos Vale Ground,Kingstown,South Africa,Nepal,Group D,Jayaraman Madanagopal,Joel Wilson,Sam Nogajski,Richie Richardson,Chris Brown,Nepal,South Africa,Fielding,Played,115,7,114,7,South Africa,Nepal,Normal Match,Runs,1,Reeza Hendricks,43,Tabraiz Shamsi,4,19,Tabraiz Shamsi,No
32th,15-06-2024,Brian Lara Stadium,Tarouba,Uganda,New Zealand,Group C,Paul Reiffel,Richard Illingworth,Ahsan Raza,David Boon,Kumar Dharmasena,New Zealand,Uganda,Fielding,Played,40,10,41,1,New Zealand,Uganda,Normal Match,Wickets,9,Devon Conway,22,Tim Southee,3,4,Tim Southee,No
33th,16-06-2024,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Canada,India,Group A,Richard Kettleborough,Sharfuddoula,Chris Gaffaney,Andy Pycroft,Rod Tucker,No Result (Rain),No Result (Rain),No Result (Rain),Abandoned,0,0,0,0,No Result (Rain),No Result (Rain),No Result (Rain),No Result (Rain),0,No Result (Rain),0,No Result (Rain),0,0,No Result (Rain),No Result (Rain)
34th,16-06-2024,Sir Vivian Richards Stadium,North Sound,England,Namibia,Group B,Adrian Holdstock,Langton Rusere,Nitin Menon,Ranjan Madugalle,Rashid Riaz,Namibia,England,Fielding,Played,122,5,84,3,England,Namibia,Normal Match,Runs,41,Harry Brook,47,David Wiese,1,6,Harry Brook,No
35th,16-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,Scotland,Australia,Group B,Asif Yaqoob,Michael Gough,Allahuddien Paleker,Jeff Crowe,Alex Wharf,Australia,Scotland,Fielding,Played,180,5,186,5,Australia,Scotland,Normal Match,Wickets,5,Marcus Stoinis,59,Mark Watt,2,34,Marcus Stoinis,No
36th,16-06-2024,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Ireland,Pakistan,Group A,Chris Gaffaney,Rod Tucker,Richard Kettleborough,Javagal Srinath,Sharfuddoula,Pakistan,Ireland,Fielding,Played,106,9,111,7,Pakistan,Ireland,Normal Match,Wickets,3,Babar Azam,32,Shaheen Shah Afridi,3,22,Shaheen Shah Afridi,No
37th,17-06-2024,Arnos Vale Ground,Kingstown,Bangladesh,Nepal,Group D,Ahsan Raza,Sam Nogajski,Kumar Dharmasena,Richie Richardson,Jayaraman Madanagopal,Nepal,Bangladesh,Fielding,Played,106,10,85,10,Bangladesh,Nepal,Normal Match,Runs,21,Kushal Malla,27,Tanzim Hasan Sakib,4,7,Tanzim Hasan Sakib,No
38th,17-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,Sri Lanka,Netherlands,Group D,Alex Wharf,Allahuddien Paleker,Asif Yaqoob,Jeff Crowe,Michael Gough,Netherlands,Sri Lanka,Fielding,Played,201,6,118,10,Sri Lanka,Netherlands,Normal Match,Runs,83,Charith Asalanka,46,Nuwan Thushara,3,24,Charith Asalanka,No
39th,17-06-2024,Brian Lara Stadium,Tarouba,Papua New Guinea,New Zealand,Group C,Langton Rusere,Paul Reiffel,Richard Illingworth,David Boon,Joel Wilson,New Zealand,Papua New Guinea,Fielding,Played,78,10,79,3,New Zealand,Papua New Guinea,Normal Match,Wickets,7,Devon Conway,35,Lockie Ferguson,3,0,Lockie Ferguson,No
40th,18-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,West Indies,Afghanistan,Group C,Allahuddien Paleker,Chris Brown,Michael Gough,Jeff Crowe,Alex Wharf,Afghanistan,West Indies,Fielding,Played,218,5,114,10,West Indies,Afghanistan,Normal Match,Runs,104,Nicholas Pooran,98,Obed McCoy,3,14,Nicholas Pooran,No
41th,19-06-2024,Sir Vivian Richards Stadium,North Sound,South Africa,United State Of America,Group A,Chris Gaffaney,Richard Kettleborough,Langton Rusere,Ranjan Madugalle,Langton Rusere,United State Of America,South Africa,Fielding,Played,194,4,176,6,South Africa,United State Of America,Normal Match,Runs,18,Quinton de Kock,74,Kagiso Rabada,3,18,Quinton de Kock,No
42th,20-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,West Indies,England,Group 2,Ahsan Raza,Nitin Menon,Chris Brown,Jeff Crowe,Sharfuddoula,England,West Indies,Fielding,Played,180,4,181,2,England,West Indies,Normal Match,Wickets,8,Phil Salt,87,Adil Rashid,1,15,Phil Salt,No
43th,20-06-2024,Kensington Oval,Bridgetown,India,Afghanistan,Group 1,Paul Reiffel,Rod Tucker,Alex Wharf,David Boon,Allahuddien Paleker,India,Afghanistan,Batting,Played,181,8,134,10,India,Afghanistan,Normal Match,Runs,47,Suryakumar Yadav,53,Rashid Khan,3,26,Suryakumar Yadav,No
44th,21-06-2024,Sir Vivian Richards Stadium,North Sound,Bangladesh,Australia,Group 1,Michael Gough,Richard Illingworth,Adrian Holdstock,Richie Richardson,Kumar Dharmasena,Australia,Bangladesh,Fielding,Played,140,8,100,2,Australia,Bangladesh,DLS,Runs,28,David Warner,53,Pat Cummins,3,29,Pat Cummins,No
45th,21-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,South Africa,England,Group 2,Chris Brown,Sharfuddoula,Chris Gaffaney,Jeff Crowe,Joel Wilson,England,South Africa,Fielding,Played,163,6,156,6,South Africa,England,Normal Match,Runs,7,Quinton de Kock,65,Jofra Archer,3,40,Quinton de Kock,No
46th,22-06-2024,Kensington Oval,Bridgetown,United State Of America,West Indies,Group 2,Allahuddien Paleker,Paul Reiffel,Alex Wharf,David Boon,Rod Tucker,West Indies,United State Of America,Fielding,Played,128,10,130,1,West Indies,United State Of America,Normal Match,Wickets,9,Shai Hope,82,Roston Chase,3,19,Roston Chase,No
47th,22-06-2024,Sir Vivian Richards Stadium,North Sound,India,Bangladesh,Group 1,Adrian Holdstock,Michael Gough,Richard Kettleborough,Ranjan Madugalle,Langton Rusere,Bangladesh,India,Fielding,Played,196,5,146,8,India,Bangladesh,Normal Match,Runs,50,Hardik Pandya,50,Kuldeep Yadav,3,19,Hardik Pandya,No
48th,23-06-2024,Arnos Vale Ground,Kingstown,Afghanistan,Australia,Group 1,Ahsan Raza,Kumar Dharmasena,Nitin Menon,Jeff Crowe,Richard Illingworth,Australia,Afghanistan,Fielding,Played,148,6,127,10,Afghanistan,Australia,Normal Match,Runs,21,Rahmanullah Gurbaz,60,Gulbadin Naib,4,20,Gulbadin Naib,No
49th,23-06-2024,Kensington Oval,Bridgetown,United State Of America,England,Group 2,Chris Gaffaney,Joel Wilson,Allahuddien Paleker,David Boon,Paul Reiffel,England,United State Of America,Fielding,Played,115,10,117,0,England,United State Of America,Normal Match,Wickets,10,Jos Buttler,83,Adil Rashid,2,13,Adil Rashid,No
50th,24-06-2024,Sir Vivian Richards Stadium,North Sound,West Indies,South Africa,Group 2,Alex Wharf,Rod Tucker,Sharfuddoula,Ranjan Madugalle,Chris Brown,South Africa,West Indies,Fielding,Played,135,8,124,7,South Africa,West Indies,DLS,Wickets,3,Roston Chase,52,Tabraiz Shamsi,3,27,Tabraiz Shamsi,No
51th,24-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,India,Australia,Group 1,Richard Illingworth,Richard Kettleborough,Kumar Dharmasena,Jeff Crowe,Michael Gough,Australia,India,Fielding,Played,205,5,181,7,India,Australia,Normal Match,Runs,24,Rohit Sharma,92,Arshdeep Singh,3,37,Rohit Sharma,No
52th,25-06-2024,Arnos Vale Ground,Kingstown,Afghanistan,Bangladesh,Group 1,Langton Rusere,Nitin Menon,Ahsan Raza,Richie Richardson,Adrian Holdstock,Afghanistan,Bangladesh,Batting,Played,115,5,105,10,Afghanistan,Bangladesh,DLS,Runs,8,Litton Das,54,Rashid Khan,4,23,Naveen-ul-Haq,No
53th,27-06-2024,Brian Lara Stadium,Tarouba,Afghanistan,South Africa,1st Semi-Final,Nitin Menon,Richard Illingworth,Ahsan Raza,Richie Richardson,Richard Kettleborough,Afghanistan,South Africa,Batting,Played,56,10,60,1,South Africa,Afghanistan,Normal Match,Wickets,9,Reeza Hendricks,29,Marco Jansen,3,16,Marco Jansen,No
54th,27-06-2024,Providence Stadium,Providence,India,England,2nd Semi-Final,Chris Gaffaney,Rod Tucker,Paul Reiffel,Jeff Crowe,Joel Wilson,England,India,Fielding,Played,141,7,103,10,India,England,Normal Match,Runs,68,Rohit Sharma,57,Axar Patel,3,23,Axar Patel,No
55th,29-06-2024,Kensington Oval,Bridgetown,India,South Africa,Final,Chris Gaffaney,Richard Illingworth,Rod Tucker,Richie Richardson,Richard Kettleborough,India,South Africa,Batting,Played,176,7,169,8,India,South Africa,Normal Match,Runs,7,Virat Kohli,76,Hardik Pandya,3,20,Virat Kohli,No
